TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_bin,Target
858.63,0,37,1,27.0,3,185.0,1.0,1872.96,Sangat Tinggi,0
25.36,1,21,0,57.0,1,78.0,1.0,201.04,Rendah,1
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,Sedang,1
115.02,1,35,1,37.0,0,175.0,1.0,7643.66,Sedang,4
383.37,1,13,1,30.0,1,24.0,1.0,8901.93,Sangat Tinggi,2
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,Sedang,2
129.94,1,19,0,32.0,1,235.0,1.0,7954.92,Sedang,4
306.9,1,7,2,46.0,1,51.0,1.0,9418.08,Tinggi,2
114.98,1,39,2,59.0,2,80.0,1.0,6144.68,Sedang,1
756.59,1,34,1,27.0,3,17.0,1.0,420.65,Sangat Tinggi,0
503.76,1,20,2,22.0,3,35.0,1.0,447.82,Sangat Tinggi,3
143.03,1,35,0,63.0,2,147.0,1.0,7981.45,Sedang,1
254.37,0,9,2,51.0,1,174.0,1.0,8849.26,Tinggi,2
213.76,0,9,0,78.0,2,282.0,1.0,3528.72,Tinggi,4
327.86,1,14,2,40.0,1,104.0,1.0,480.16,Tinggi,3
2.5,1,36,2,47.0,0,107.0,1.0,12145.27,Rendah,2
300.08,0,2,2,68.0,0,47.0,1.0,13546.75,Tinggi,2
115.83,1,14,1,39.0,1,167.0,1.0,6481.04,Sedang,4
53.57,1,15,0,69.0,2,121.0,1.0,1651.33,Rendah,1
63.34,0,11,2,46.0,0,165.0,1.0,11174.94,Rendah,2
331.65,1,32,2,41.0,1,61.0,1.0,4172.57,Tinggi,3
5.04,1,42,0,56.0,2,41.0,1.0,5558.36,Rendah,1
214.54,0,11,2,70.0,0,247.0,1.0,11151.53,Tinggi,4
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,Sangat Tinggi,0
841.28,1,40,2,26.0,3,80.0,1.0,1103.64,Sangat Tinggi,0
38.15,1,23,2,26.0,3,108.0,1.0,303.68,Rendah,3
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,Sedang,2
302.45,0,35,1,78.0,2,40.0,1.0,5133.61,Tinggi,1
208.04,1,21,2,47.0,1,273.0,1.0,9344.98,Tinggi,4
5.77,0,20,1,23.0,3,254.0,1.0,1117.97,Rendah,4
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,Sangat Tinggi,2
16.16,1,25,0,50.0,0,124.0,1.0,14401.17,Rendah,2
486.08,1,28,2,18.0,3,68.0,1.0,1748.69,Sangat Tinggi,3
336.39,1,35,1,21.0,3,18.0,1.0,1000.46,Tinggi,3
234.57,1,6,2,23.0,3,120.0,1.0,263.98,Tinggi,3
6.0,1,6,2,30.0,0,246.0,1.0,5442.76,Rendah,4
227.14,1,5,0,18.0,3,294.0,1.0,341.94,Tinggi,4
45.85,1,20,0,20.0,3,92.0,1.0,1659.15,Rendah,3
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,Sangat Tinggi,2
265.76,1,30,2,54.0,2,92.0,1.0,4446.17,Tinggi,1
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,Rendah,1
332.93,0,0,1,35.0,1,293.0,1.0,2788.2,Tinggi,4
267.9,1,35,2,20.0,3,160.0,1.0,596.16,Tinggi,3
496.03,1,37,1,61.0,0,265.0,1.0,12904.66,Sangat Tinggi,4
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,Sangat Tinggi,4
83.02,0,39,2,36.0,1,171.0,1.0,9009.56,Sedang,2
93.26,0,27,2,20.0,3,72.0,1.0,1152.2,Sedang,3
803.37,0,22,1,68.0,0,129.0,1.0,12168.37,Sangat Tinggi,0
35.76,1,5,1,23.0,3,122.0,1.0,611.86,Rendah,3
28.53,1,42,2,62.0,0,99.0,1.0,8670.53,Rendah,1
139.53,0,21,2,53.0,0,177.0,1.0,10098.86,Sedang,2
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,Tinggi,4
60.65,0,40,1,56.0,2,53.0,1.0,1047.28,Rendah,1
74.86,1,26,1,70.0,0,125.0,1.0,6921.48,Rendah,1
231.91,1,22,0,34.0,1,165.0,1.0,112.76,Tinggi,3
126.21,1,3,1,75.0,2,268.0,1.0,5669.66,Sedang,4
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,Tinggi,3
281.85,1,11,0,22.0,3,109.0,1.0,1585.98,Tinggi,3
777.88,1,15,1,31.0,1,17.0,1.0,6825.55,Sangat Tinggi,0
119.18,1,20,1,56.0,2,96.0,1.0,5516.5,Sedang,1
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,Sedang,1
260.88,1,10,1,22.0,3,36.0,1.0,903.05,Tinggi,3
169.47,1,6,2,24.0,3,19.0,1.0,1806.16,Sedang,3
73.23,1,32,1,26.0,3,14.0,1.0,787.74,Rendah,3
792.57,1,3,0,19.0,3,164.0,1.0,770.37,Sangat Tinggi,0
237.06,1,31,2,71.0,2,46.0,1.0,1182.77,Tinggi,1
34.17,0,30,2,54.0,1,54.0,1.0,726.55,Rendah,1
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,Sangat Tinggi,0
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,Sangat Tinggi,2
300.47,1,17,1,73.0,2,100.0,1.0,7885.64,Tinggi,1
110.93,0,41,1,19.0,3,201.0,1.0,1952.35,Sedang,3
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,Tinggi,4
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,Sangat Tinggi,1
630.36,1,23,0,62.0,2,52.0,1.0,1363.65,Sangat Tinggi,0
10.94,0,30,0,60.0,1,245.0,1.0,1241.99,Rendah,4
215.9,1,20,0,38.0,0,235.0,1.0,7873.28,Tinggi,4
444.89,0,19,1,43.0,0,101.0,1.0,10328.23,Sangat Tinggi,2
280.57,0,41,2,25.0,3,24.0,1.0,293.24,Tinggi,3
3.3,0,20,1,50.0,0,131.0,1.0,11385.37,Rendah,2
20.36,1,40,1,62.0,2,75.0,1.0,2762.48,Rendah,1
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,Sangat Tinggi,4
307.41,1,20,0,19.0,3,14.0,1.0,1057.0,Tinggi,3
11.18,1,1,2,43.0,0,161.0,1.0,5956.89,Rendah,4
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,Tinggi,1
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,Tinggi,1
800.55,1,28,0,31.0,1,108.0,1.0,9660.22,Sangat Tinggi,0
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,Sangat Tinggi,0
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,Sangat Tinggi,4
304.93,1,32,0,65.0,0,158.0,1.0,13531.22,Tinggi,2
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,Sangat Tinggi,0
116.86,1,21,0,55.0,1,171.0,1.0,6706.56,Sedang,4
74.88,1,1,0,25.0,3,202.0,1.0,420.67,Rendah,3
890.24,0,19,2,33.0,1,161.0,1.0,5140.93,Sangat Tinggi,0
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,Tinggi,4
131.56,1,5,1,44.0,0,42.0,1.0,5873.54,Sedang,1
485.51,0,25,2,76.0,2,37.0,1.0,3074.45,Sangat Tinggi,1
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,Sangat Tinggi,0
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,Sangat Tinggi,2
506.24,1,6,0,58.0,1,64.0,1.0,230.09,Sangat Tinggi,0
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,Sangat Tinggi,0
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,Sedang,4
581.65,1,4,0,22.0,3,176.0,1.0,480.19,Sangat Tinggi,0
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,Sangat Tinggi,2
91.48,1,13,0,51.0,0,141.0,1.0,14942.78,Sedang,2
5.25,1,38,0,39.0,0,49.0,1.0,14143.32,Rendah,2
54.03,0,25,0,56.0,2,161.0,1.0,6736.3,Rendah,1
736.73,1,22,1,48.0,1,10.0,1.0,3313.07,Sangat Tinggi,0
33.06,0,13,2,53.0,2,170.0,1.0,1540.87,Rendah,1
66.5,0,21,2,32.0,1,144.0,1.0,6820.23,Rendah,2
588.54,1,32,1,32.0,1,130.0,1.0,714.45,Sangat Tinggi,0
173.5,1,26,0,21.0,3,282.0,1.0,1306.91,Sedang,4
78.33,0,22,2,56.0,1,189.0,1.0,7255.33,Rendah,4
40.66,1,21,1,59.0,2,156.0,1.0,1153.84,Rendah,1
97.22,0,1,1,77.0,2,55.0,1.0,6647.73,Sedang,1
34.07,1,30,1,22.0,3,81.0,1.0,8709.77,Rendah,2
492.06,1,14,2,23.0,3,74.0,1.0,857.9,Sangat Tinggi,3
842.01,0,41,2,53.0,0,185.0,1.0,509.45,Sangat Tinggi,0
73.55,1,1,0,51.0,1,158.0,1.0,2812.06,Rendah,1
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,Sangat Tinggi,0
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,Tinggi,1
218.96,1,39,0,18.0,3,13.0,1.0,754.21,Tinggi,3
227.39,1,1,2,18.0,3,65.0,1.0,751.09,Tinggi,3
237.99,0,18,1,39.0,0,86.0,1.0,8510.09,Tinggi,2
341.15,1,38,2,18.0,3,148.0,1.0,511.37,Tinggi,3
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,Sangat Tinggi,2
312.88,0,32,1,54.0,1,44.0,1.0,233.21,Tinggi,1
75.15,1,4,0,23.0,3,154.0,1.0,1092.92,Rendah,3
23.3,1,20,0,59.0,1,161.0,1.0,6711.15,Rendah,1
47.38,0,39,2,25.0,3,61.0,1.0,459.37,Rendah,3
488.15,1,21,1,43.0,1,168.0,1.0,7071.09,Sangat Tinggi,0
12.82,1,13,0,44.0,1,156.0,1.0,9045.19,Rendah,2
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,Sangat Tinggi,0
270.72,0,42,2,26.0,1,53.0,1.0,6263.96,Tinggi,3
97.98,1,10,1,72.0,2,18.0,1.0,7460.33,Sedang,1
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,Sedang,1
251.18,1,38,0,42.0,1,246.0,1.0,8303.9,Tinggi,4
44.52,1,12,2,28.0,3,205.0,1.0,314.28,Rendah,3
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,Sedang,4
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,Sangat Tinggi,2
167.14,1,10,2,76.0,2,20.0,1.0,3877.73,Sedang,1
345.22,1,14,1,69.0,2,253.0,1.0,4046.58,Tinggi,4
74.85,1,33,0,72.0,2,117.0,1.0,2409.73,Rendah,1
671.73,1,42,1,58.0,1,54.0,1.0,5211.88,Sangat Tinggi,0
255.04,1,39,0,45.0,1,152.0,1.0,6217.86,Tinggi,4
45.77,1,30,2,25.0,3,109.0,1.0,5978.12,Rendah,3
329.69,0,35,2,26.0,3,66.0,1.0,1671.66,Tinggi,3
47.42,1,36,0,64.0,0,28.0,1.0,8253.52,Rendah,1
35.99,1,24,1,63.0,2,129.0,1.0,4489.79,Rendah,1
151.19,0,27,1,37.0,0,96.0,1.0,11903.82,Sedang,2
242.62,0,37,2,22.0,3,234.0,1.0,483.02,Tinggi,4
48.72,1,41,1,21.0,3,17.0,1.0,816.08,Rendah,3
43.46,1,4,0,25.0,3,80.0,1.0,578.06,Rendah,3
443.79,1,19,0,53.0,2,87.0,1.0,3133.85,Sangat Tinggi,0
365.14,1,9,2,68.0,2,57.0,1.0,5894.09,Tinggi,1
757.41,1,20,0,22.0,3,37.0,1.0,9532.42,Sangat Tinggi,0
20.54,1,13,1,51.0,1,72.0,1.0,5327.03,Rendah,1
475.36,1,31,0,34.0,1,105.0,1.0,2000.6,Sangat Tinggi,0
34.74,1,37,0,56.0,2,24.0,1.0,6827.57,Rendah,1
211.18,1,42,0,73.0,2,90.0,1.0,4069.17,Tinggi,1
211.36,0,13,1,51.0,1,286.0,1.0,7943.47,Tinggi,4
744.41,0,15,2,39.0,1,107.0,1.0,8842.47,Sangat Tinggi,0
61.43,1,31,2,24.0,3,170.0,1.0,1882.77,Rendah,3
167.44,1,23,1,37.0,0,82.0,1.0,12526.71,Sedang,2
361.46,1,26,2,21.0,3,83.0,1.0,4737.84,Tinggi,3
378.85,1,41,1,78.0,2,126.0,1.0,2300.53,Sangat Tinggi,1
241.11,1,8,1,30.0,0,55.0,1.0,12385.05,Tinggi,2
131.93,0,13,1,31.0,1,13.0,1.0,4547.06,Sedang,3
485.54,1,21,2,19.0,3,148.0,1.0,1533.32,Sangat Tinggi,3
321.15,1,20,1,46.0,0,179.0,1.0,7005.05,Tinggi,4
711.3,1,38,1,21.0,3,51.0,1.0,955.4,Sangat Tinggi,0
12.23,1,15,0,42.0,1,139.0,1.0,7844.88,Rendah,2
350.94,1,7,0,20.0,3,64.0,1.0,221.56,Tinggi,3
301.85,1,8,2,54.0,1,25.0,1.0,6586.19,Tinggi,1
29.34,1,21,2,65.0,2,30.0,1.0,3944.82,Rendah,1
231.71,1,33,1,27.0,3,148.0,1.0,1127.98,Tinggi,3
179.43,1,28,0,58.0,2,244.0,1.0,2626.63,Sedang,4
36.71,1,17,1,48.0,0,55.0,1.0,6459.38,Rendah,1
138.12,0,20,1,53.0,0,281.0,1.0,1649.69,Sedang,4
233.24,1,21,0,33.0,1,72.0,1.0,6939.23,Tinggi,2
436.64,1,20,1,31.0,0,111.0,1.0,14365.18,Sangat Tinggi,2
870.43,1,20,1,29.0,0,55.0,1.0,10115.18,Sangat Tinggi,0
354.4,1,6,0,74.0,2,128.0,1.0,7358.65,Tinggi,1
22.63,1,18,2,53.0,1,112.0,1.0,4438.03,Rendah,1
182.19,1,23,1,26.0,3,53.0,1.0,1176.1,Sedang,3
126.81,1,30,1,26.0,1,290.0,1.0,5427.98,Sedang,4
288.17,1,41,2,37.0,1,50.0,1.0,3653.11,Tinggi,3
118.77,1,1,1,55.0,1,123.0,1.0,2104.82,Sedang,1
651.82,1,16,0,21.0,3,166.0,1.0,1802.77,Sangat Tinggi,0
66.65,1,11,0,37.0,1,33.0,1.0,3559.96,Rendah,3
98.53,1,10,1,69.0,2,166.0,1.0,3564.8,Sedang,1
138.95,1,42,2,71.0,2,30.0,1.0,6752.92,Sedang,1
33.89,1,26,1,26.0,3,177.0,1.0,1444.75,Rendah,3
23.71,1,1,1,58.0,0,164.0,1.0,10788.89,Rendah,2
26.06,1,36,0,65.0,0,283.0,1.0,12893.63,Rendah,4
17.07,1,20,1,27.0,1,44.0,1.0,2798.15,Rendah,3
703.89,1,35,2,46.0,1,62.0,1.0,3583.67,Sangat Tinggi,0
26.55,1,15,0,77.0,2,228.0,1.0,3085.38,Rendah,4
147.4,1,38,1,42.0,1,259.0,1.0,6797.71,Sedang,4
202.11,1,22,0,27.0,3,18.0,1.0,746.47,Tinggi,3
308.42,1,26,1,75.0,2,39.0,1.0,5427.81,Tinggi,1
11.18,1,24,0,53.0,1,144.0,1.0,7467.3,Rendah,2
294.15,1,14,2,38.0,1,136.0,1.0,6362.16,Tinggi,2
139.45,1,4,2,27.0,3,31.0,1.0,1305.76,Sedang,3
432.63,1,7,0,29.0,0,137.0,1.0,13648.36,Sangat Tinggi,2
131.43,1,5,2,43.0,0,65.0,1.0,1337.5,Sedang,3
516.72,1,23,0,42.0,1,128.0,1.0,2015.69,Sangat Tinggi,0
374.5,0,37,1,26.0,3,178.0,1.0,1671.51,Tinggi,3
166.13,1,29,0,68.0,0,227.0,1.0,11822.53,Sedang,4
626.9,1,6,0,23.0,3,146.0,1.0,587.11,Sangat Tinggi,0
466.85,1,2,1,56.0,2,165.0,1.0,5422.53,Sangat Tinggi,0
788.84,1,31,2,58.0,2,231.0,1.0,1913.73,Sangat Tinggi,0
525.28,1,7,0,69.0,2,134.0,1.0,4693.6,Sangat Tinggi,0
632.69,1,10,0,80.0,2,76.0,1.0,4363.74,Sangat Tinggi,0
124.35,1,28,0,72.0,2,90.0,1.0,3319.76,Sedang,1
43.85,1,14,0,62.0,2,122.0,1.0,4356.98,Rendah,1
283.81,1,36,1,28.0,3,29.0,1.0,1519.35,Tinggi,3
168.53,1,37,0,71.0,2,112.0,1.0,5962.58,Sedang,1
218.59,0,10,1,40.0,1,123.0,1.0,6699.23,Tinggi,2
132.84,1,28,0,21.0,3,143.0,1.0,822.73,Sedang,3
157.37,0,9,1,42.0,0,289.0,1.0,13964.31,Sedang,4
144.77,1,0,2,20.0,3,159.0,1.0,867.32,Sedang,3
643.22,1,1,0,64.0,0,93.0,1.0,1035.86,Sangat Tinggi,0
208.07,1,28,2,32.0,0,36.0,1.0,8478.9,Tinggi,2
295.5,1,23,0,59.0,2,36.0,1.0,6280.66,Tinggi,1
30.23,1,2,0,44.0,0,99.0,1.0,481.13,Rendah,3
180.24,1,31,1,58.0,1,144.0,1.0,8431.23,Sedang,2
13.71,0,10,2,38.0,1,148.0,1.0,8342.79,Rendah,2
96.54,1,27,1,58.0,2,95.0,1.0,7182.22,Sedang,1
101.04,1,35,0,27.0,3,160.0,1.0,1695.57,Sedang,3
39.66,1,41,1,52.0,1,169.0,1.0,8497.34,Rendah,2
99.36,1,39,0,40.0,0,46.0,1.0,1272.12,Sedang,3
123.85,1,19,2,56.0,1,244.0,1.0,3959.62,Sedang,4
426.93,1,29,0,19.0,3,248.0,1.0,476.19,Sangat Tinggi,4
133.73,0,38,2,25.0,3,123.0,1.0,1872.22,Sedang,3
222.39,1,41,2,49.0,1,73.0,1.0,3117.39,Tinggi,1
215.94,0,41,2,22.0,3,140.0,1.0,1841.69,Tinggi,3
131.46,1,5,1,67.0,2,258.0,1.0,6642.33,Sedang,4
202.86,0,22,1,61.0,0,149.0,1.0,7642.25,Tinggi,1
268.39,1,24,0,26.0,3,171.0,1.0,136.74,Tinggi,3
353.82,1,25,0,42.0,0,143.0,1.0,705.75,Tinggi,3
364.42,1,7,0,51.0,1,146.0,1.0,8119.73,Tinggi,2
195.12,1,21,0,46.0,0,144.0,1.0,6101.15,Sedang,1
230.61,1,33,1,80.0,2,204.0,1.0,2561.42,Tinggi,1
739.28,0,40,1,58.0,0,47.0,1.0,11905.64,Sangat Tinggi,0
390.35,0,29,0,64.0,0,61.0,1.0,7095.88,Sangat Tinggi,1
242.03,1,9,2,58.0,1,124.0,1.0,4382.73,Tinggi,1
242.39,0,35,0,18.0,3,271.0,1.0,1328.73,Tinggi,4
135.03,1,37,0,23.0,3,180.0,1.0,1278.0,Sedang,3
193.54,1,28,1,80.0,2,267.0,1.0,2929.51,Sedang,4
775.23,0,0,2,59.0,0,38.0,1.0,5977.59,Sangat Tinggi,0
266.57,1,12,0,72.0,2,100.0,1.0,7676.92,Tinggi,1
153.4,1,23,0,45.0,1,144.0,1.0,4657.7,Sedang,1
5.12,1,27,1,34.0,1,90.0,1.0,3293.01,Rendah,3
119.11,1,11,0,57.0,1,131.0,1.0,7998.25,Sedang,2
119.72,1,40,1,30.0,1,123.0,1.0,3435.34,Sedang,3
107.4,1,41,2,58.0,0,32.0,1.0,344.07,Sedang,1
115.92,1,33,0,53.0,2,57.0,1.0,3897.17,Sedang,1
438.04,1,30,0,67.0,2,247.0,1.0,5358.95,Sangat Tinggi,4
677.29,1,15,2,27.0,1,287.0,1.0,627.79,Sangat Tinggi,4
296.0,1,19,1,35.0,0,248.0,1.0,7418.82,Tinggi,4
299.09,0,4,1,36.0,1,84.0,1.0,5615.26,Tinggi,3
461.52,0,10,1,24.0,3,44.0,1.0,1995.18,Sangat Tinggi,3
100.52,1,19,0,50.0,1,110.0,1.0,453.39,Sedang,1
85.35,1,42,0,66.0,2,166.0,1.0,2173.76,Sedang,1
79.76,1,33,1,39.0,1,170.0,1.0,6452.14,Sedang,4
778.49,0,29,2,75.0,2,107.0,1.0,7713.67,Sangat Tinggi,0
386.38,1,31,2,42.0,1,135.0,1.0,5528.36,Sangat Tinggi,0
14.29,1,20,0,34.0,1,150.0,1.0,7016.99,Rendah,2
232.79,0,16,1,55.0,2,145.0,1.0,2661.3,Tinggi,1
293.97,1,31,1,68.0,2,153.0,1.0,7371.85,Tinggi,1
136.32,1,24,2,19.0,3,113.0,1.0,264.83,Sedang,3
251.06,1,7,2,36.0,0,34.0,1.0,10001.66,Tinggi,2
50.17,0,34,0,77.0,2,35.0,1.0,7752.14,Rendah,1
21.4,1,14,1,34.0,1,258.0,1.0,9594.11,Rendah,4
73.28,1,4,1,21.0,3,21.0,1.0,1329.41,Rendah,3
70.23,1,22,0,38.0,0,260.0,1.0,11624.93,Rendah,4
689.29,1,12,0,22.0,3,100.0,1.0,168.84,Sangat Tinggi,0
745.03,1,13,2,28.0,3,231.0,1.0,160.57,Sangat Tinggi,0
54.61,1,25,0,58.0,1,160.0,1.0,7135.64,Rendah,1
54.05,1,21,1,27.0,3,146.0,1.0,469.14,Rendah,3
107.47,1,2,2,67.0,2,144.0,1.0,7517.5,Sedang,1
219.63,1,5,0,48.0,0,44.0,1.0,8013.63,Tinggi,2
93.52,1,30,2,51.0,1,97.0,1.0,2791.2,Sedang,1
275.92,0,26,1,62.0,2,107.0,1.0,1777.38,Tinggi,1
376.79,1,25,1,68.0,2,265.0,1.0,7749.14,Sangat Tinggi,4
697.32,1,1,2,68.0,2,91.0,1.0,2016.02,Sangat Tinggi,0
442.74,1,36,1,23.0,3,136.0,1.0,1790.27,Sangat Tinggi,3
623.9,1,38,0,27.0,3,249.0,1.0,711.47,Sangat Tinggi,0
63.41,1,13,0,26.0,3,36.0,1.0,1546.22,Rendah,3
346.85,1,18,0,44.0,0,88.0,1.0,7208.15,Tinggi,2
7.5,1,9,2,63.0,2,36.0,1.0,6485.78,Rendah,1
206.46,1,41,0,65.0,2,279.0,1.0,3984.38,Tinggi,4
423.11,1,8,0,60.0,1,47.0,1.0,412.78,Sangat Tinggi,1
35.84,0,7,2,54.0,2,172.0,1.0,4795.65,Rendah,1
88.6,0,33,1,28.0,3,105.0,1.0,246.57,Sedang,3
22.46,1,27,2,54.0,2,78.0,1.0,6631.5,Rendah,1
